name,name_iata,city,flights,delays,cancelled,early,total_delay_m,flights_mon,delays_mon,total_delay_mon,flights_tue,delays_tue,total_delay_tue,flights_wed,delays_wed,total_delay_wed,flights_thu,delays_thu,total_delay_thu,flights_fri,delays_fri,total_delay_fri,flights_sat,delays_sat,total_delay_sat,flights_sun,delays_sun,total_delay_sun,flights_jan,delays_jan,total_delay_jan,flights_feb,delays_feb,total_delay_feb,flights_mar,delays_mar,total_delay_mar,flights_apr,delays_apr,total_delay_apr,flights_may,delays_may,total_delay_may,flights_jun,delays_jun,total_delay_jun,flights_jul,delays_jul,total_delay_jul,flights_aug,delays_aug,total_delay_aug,flights_sep,delays_sep,total_delay_sep,flights_oct,delays_oct,total_delay_oct,flights_nov,delays_nov,total_delay_nov,flights_dec,delays_dec,total_delay_dec
William P. Hobby Airport,HOU,Houston,52042,25176,774,22241,700520,7907,3680,97161,7949,3558,119703,7949,3805,108400,7748,4083,115738,7667,3848,97799,5629,2629,66631,7193,3573,95088,4650,1996,48374,4182,1760,39843,4796,2382,58489,4671,2231,63463,4763,2668,95133,4910,2864,88879,5086,2782,84017,4894,2226,73500,4580,1555,29227,0,0,0,4714,2137,51869,4796,2575,67726
Westchester County Airport,HPN,White Plains,7443,2583,279,4229,114857,1141,384,18182,1099,390,18389,1109,351,12421,1130,400,18038,1118,393,18129,828,286,11141,1018,379,18557,726,260,11421,682,340,16106,685,235,10364,671,169,6598,686,179,6727,681,206,11223,699,247,10725,698,243,12147,646,214,9021,0,0,0,659,228,7640,610,262,12885
Valley International Airport,HRL,Harlingen,3079,668,43,2254,23039,476,87,2453,434,91,3014,458,115,5240,465,110,4271,464,94,2667,385,80,2093,397,91,3301,286,52,1531,260,52,1893,291,66,1869,285,76,2341,288,94,4080,279,55,1897,289,36,1814,283,63,2689,267,30,640,0,0,0,277,67,2047,274,77,2238
Huntsville International Airport,HSV,Huntsville,4519,1160,83,3070,49347,700,180,6824,677,154,6475,663,171,10112,682,187,8506,689,189,6680,509,118,4622,599,161,6128,418,110,3263,371,101,3193,430,119,5160,431,92,3693,436,108,7069,447,140,7934,424,103,3515,441,105,3468,380,63,3010,0,0,0,359,106,4042,382,113,5000
Barnstable Municipal Airport,HYA,Hyannis,83,36,1,39,2136,12,5,222,12,7,762,11,5,214,12,4,57,12,3,26,12,7,562,12,5,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,383,31,16,1083,31,14,654,8,1,16,0,0,0,0,0,0,0,0,0
Hays Regional Airport,HYS,Hays,573,120,15,410,4619,96,26,917,96,18,670,96,23,990,95,18,967,93,12,372,48,13,426,49,10,277,53,12,645,49,15,820,53,13,223,52,5,322,52,9,147,52,13,602,54,15,626,52,7,338,52,6,98,0,0,0,51,14,382,53,11,416
Washington Dulles International Airport,IAD,Chantilly,34305,14530,555,17249,504959,5113,2173,79748,4965,1964,72750,5031,2029,64761,5089,2138,76409,4990,2216,66723,4112,1890,70472,5005,2120,74096,3701,1828,64011,3001,1332,54497,3032,1377,49171,2957,1160,33062,3243,1419,42411,3382,1783,72627,3334,1542,53297,3236,1355,48481,2925,952,27732,0,0,0,2693,731,23770,2801,1051,35900
Niagara Falls International Airport,IAG,Niagara Falls,322,96,10,207,4038,71,25,866,34,13,453,48,14,611,23,4,302,77,22,862,47,13,685,22,5,259,31,9,304,33,11,238,40,13,599,31,6,284,27,7,96,26,12,781,27,8,347,27,13,598,22,6,167,0,0,0,27,4,316,31,7,308
George Bush Intercontinental Airport,IAH,Houston,146622,61226,2130,76059,2014777,22286,9308,308081,20638,8352,304704,21611,8653,301482,22135,9151,287201,21822,9066,267623,17151,7173,219295,20979,9523,326391,13376,5549,153723,12231,4603,121661,14045,6069,163642,13507,5555,170580,14415,7052,278329,14199,7240,305043,14029,6309,207490,13419,5535,190169,12167,3613,94793,0,0,0,12707,4530,147188,12527,5171,182159
Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),ICT,Wichita,8096,2568,195,5033,107991,1230,433,20701,1193,350,14041,1216,367,13416,1184,395,15412,1180,407,16638,947,257,13539,1146,359,14244,663,217,10588,634,228,10017,756,213,8566,749,203,7754,766,263,10473,831,376,15794,780,263,9227,775,199,7500,687,131,5853,0,0,0,715,245,12240,740,230,9979
Idaho Falls Regional Airport,IDA,Idaho Falls,2247,388,19,1738,13972,341,54,1587,310,51,1427,323,76,2944,336,65,2703,335,43,1861,273,46,1213,329,53,2237,190,54,2272,162,38,1419,172,19,1126,183,31,1518,194,29,1151,228,42,1784,265,36,776,253,39,1024,203,30,1015,0,0,0,192,28,776,205,42,1111
Wilmington Airport,ILG,Wilmington,100,53,5,39,3167,18,12,655,13,6,415,17,5,71,18,16,1298,17,7,218,0,0,0,17,7,510,26,11,829,21,14,786,28,17,870,25,11,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington International Airport,ILM,Wilmington,1860,394,16,1396,19044,278,70,4550,282,58,2609,254,58,1851,267,63,3401,275,53,1915,230,44,2411,274,48,2307,149,32,1256,130,20,1599,150,39,2551,135,29,1599,133,27,1556,193,42,2510,197,47,1801,189,33,1239,192,37,1351,0,0,0,207,50,1747,185,38,1835
