name,name_iata,city,flights,delays,cancelled,early,total_delay_m,flights_mon,delays_mon,total_delay_mon,flights_tue,delays_tue,total_delay_tue,flights_wed,delays_wed,total_delay_wed,flights_thu,delays_thu,total_delay_thu,flights_fri,delays_fri,total_delay_fri,flights_sat,delays_sat,total_delay_sat,flights_sun,delays_sun,total_delay_sun,flights_jan,delays_jan,total_delay_jan,flights_feb,delays_feb,total_delay_feb,flights_mar,delays_mar,total_delay_mar,flights_apr,delays_apr,total_delay_apr,flights_may,delays_may,total_delay_may,flights_jun,delays_jun,total_delay_jun,flights_jul,delays_jul,total_delay_jul,flights_aug,delays_aug,total_delay_aug,flights_sep,delays_sep,total_delay_sep,flights_oct,delays_oct,total_delay_oct,flights_nov,delays_nov,total_delay_nov,flights_dec,delays_dec,total_delay_dec
Lehigh Valley International Airport,ABE,Allentown,2274,609,39,1509,27138,376,111,5346,339,85,3903,343,85,3796,370,104,5041,371,113,4492,192,45,1428,283,66,3132,164,56,1641,163,57,2915,215,59,2134,224,48,2118,231,51,3139,204,44,3284,232,66,3432,233,80,2767,221,59,2283,0,0,0,233,50,1854,154,39,1571
Abilene Regional Airport,ABI,Abilene,2329,554,97,1609,24532,346,84,4160,340,84,3541,348,75,3579,349,90,3622,339,73,2507,275,65,2507,332,83,4616,239,65,2425,215,50,1829,245,74,2260,202,62,2745,207,66,3084,206,63,3109,211,52,2424,210,29,799,193,25,1602,0,0,0,190,29,2111,211,39,2144
Albuquerque International Sunport,ABQ,Albuquerque,19192,6987,212,10959,223712,2880,1106,41199,2822,972,29621,2844,1007,28446,2836,1119,34170,2802,1065,35895,2258,718,22228,2750,1000,32153,1574,582,19272,1410,501,16919,1685,635,16970,1755,568,18085,1861,681,22341,1903,765,26335,2045,760,27507,1937,644,21907,1758,443,9287,0,0,0,1637,636,16601,1627,772,28488
Aberdeen Regional Airport,ABR,Aberdeen,671,140,8,380,8844,98,21,2189,96,23,1013,96,22,776,95,19,652,94,23,1724,94,13,1591,98,19,899,62,14,1706,56,13,1076,62,6,841,60,6,175,62,11,1259,60,14,656,62,25,577,62,9,366,60,9,343,0,0,0,63,11,533,62,22,1312
Southwest Georgia Regional Airport,ABY,Albany,876,204,9,603,10593,140,42,1952,123,26,1572,124,21,853,136,35,1402,133,37,1627,91,9,520,129,34,2667,81,13,736,75,18,948,88,26,1289,84,20,1362,79,16,893,77,27,1665,77,18,452,80,13,428,78,12,685,0,0,0,81,16,1215,76,25,920
Nantucket Memorial Airport,ACK,Nantucket,492,207,6,254,9593,68,32,1726,55,27,1654,54,22,1156,66,22,932,84,29,621,78,31,1460,87,44,2044,0,0,0,0,0,0,0,0,0,0,0,0,48,21,1517,88,45,2605,139,55,1979,138,57,2431,79,29,1061,0,0,0,0,0,0,0,0,0
Waco Regional Airport,ACT,Waco,1612,393,73,1096,19420,239,65,2015,233,57,2636,240,44,2566,238,79,3807,233,54,2697,197,36,1910,232,58,3789,147,45,1778,134,26,1729,155,59,2178,150,41,1838,149,45,2494,146,41,3049,149,35,1787,148,26,1709,140,22,709,0,0,0,142,31,1086,152,22,1063
Arcata Airport,ACV,Arcata/Eureka,1320,401,51,814,20828,191,63,3851,192,65,3669,192,47,1897,187,73,3419,188,59,4425,180,43,1122,190,51,2445,150,49,4319,131,38,2302,101,31,1516,113,24,1001,98,30,1399,110,25,1521,122,34,1282,123,45,2543,114,37,1204,0,0,0,133,35,1188,125,53,2553
Atlantic City International Airport,ACY,Atlantic City,3572,1209,40,2237,49697,514,185,7592,508,175,9217,508,191,6656,516,136,5950,506,147,4129,506,190,8574,514,185,7579,341,89,2575,308,105,2891,361,103,3204,360,98,2421,347,152,7940,330,174,10748,341,129,5537,341,150,7839,267,72,2115,0,0,0,278,62,2188,298,75,2239
Adak Airport,ADK,Adak,96,55,7,33,1511,0,0,0,0,0,0,0,0,0,48,31,690,0,0,0,0,0,0,48,24,821,9,3,39,8,4,104,9,3,121,9,5,60,9,2,54,8,7,144,9,8,202,9,7,300,8,7,211,0,0,0,9,7,234,9,2,42
Kodiak Airport,ADQ,Kodiak,460,127,23,297,3117,68,15,377,69,19,1028,68,13,207,66,18,297,67,22,577,53,19,254,69,21,377,30,5,107,28,3,126,31,5,105,30,6,112,62,10,173,57,15,318,58,26,1134,57,25,643,47,16,208,0,0,0,30,11,120,30,5,71
Alexandria International Airport,AEX,Alexandria,3146,815,86,2141,42173,474,136,9025,444,111,5793,464,136,5218,465,118,5941,457,116,5836,375,78,4690,467,120,5670,282,76,3165,262,62,3075,301,80,4754,289,86,4384,294,90,5750,296,77,3391,299,76,2683,295,84,4465,267,43,2770,0,0,0,274,64,2394,287,77,5342
Augusta Regional Airport (Bush Field),AGS,Augusta,2361,703,15,1522,27790,366,119,5026,367,102,4258,336,101,4495,359,110,4214,347,108,4100,279,76,2241,307,87,3456,200,63,2501,177,59,2580,229,66,2427,226,93,3064,225,61,2804,219,74,3430,221,67,2708,216,61,2511,215,52,1330,0,0,0,213,50,1865,220,57,2570
King Salmon Airport,AKN,King Salmon,63,30,0,29,414,9,5,75,9,3,46,9,3,53,9,4,34,9,3,16,9,7,128,9,5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,136,31,16,161,8,4,117,0,0,0,0,0,0,0,0,0,0,0,0
Albany International Airport,ALB,Albany,7459,2191,118,4767,72778,1091,307,9487,1107,351,14435,1103,330,12536,1065,315,10113,1056,273,6904,999,307,10693,1038,308,8610,569,183,6460,549,206,6240,685,233,7568,682,195,5794,699,158,5701,638,187,6200,716,256,9165,734,209,7322,693,147,5567,0,0,0,716,159,4743,778,258,8018
Waterloo Regional Airport,ALO,Waterloo,617,120,35,438,5991,95,17,1350,96,16,700,96,23,1014,95,24,972,94,25,974,48,3,122,93,12,859,58,20,964,52,17,1092,58,12,732,56,7,146,56,8,303,56,14,414,58,6,412,57,8,336,53,12,614,0,0,0,55,8,808,58,8,170
Rick Husband Amarillo International Airport,AMA,Amarillo,4214,1197,134,2664,44383,634,166,5359,635,166,5617,633,187,8371,636,200,7496,622,179,6035,464,135,5188,590,164,6317,525,163,6779,465,133,4788,485,136,5066,345,109,3743,335,129,4449,476,160,6528,454,108,4445,317,59,1252,288,47,1216,0,0,0,264,83,3339,260,70,2778
Ted Stevens Anchorage International Airport,ANC,Anchorage,16005,4483,124,10707,121449,2353,637,17352,2285,605,18478,2179,624,14511,2366,662,17272,2316,693,17641,2208,630,18559,2298,632,17636,1184,266,7330,1029,236,7074,1209,348,10636,1176,208,4706,1502,343,7220,1891,570,17335,2086,767,21012,1997,699,17406,1482,401,10043,0,0,0,1185,338,11150,1264,307,7537
Alpena County Regional Airport,APN,Alpena,573,93,26,396,6364,96,16,989,96,15,1308,96,16,1322,96,15,594,94,17,1106,47,6,153,48,8,892,53,17,1602,48,13,854,53,7,453,52,6,404,52,6,264,52,8,748,54,9,523,52,8,230,52,6,283,0,0,0,51,3,139,54,10,864
Aspen-Pitkin County Airport,ASE,Aspen,3562,1342,276,1809,69798,495,194,10625,447,156,6475,469,162,10220,506,173,8312,486,161,7798,583,246,12480,576,250,13888,626,294,14206,629,243,10357,746,246,11016,199,52,1492,35,9,319,234,77,4203,261,81,3582,227,62,2962,115,20,699,0,0,0,34,13,589,456,245,20373
Hartsfield-Jackson Atlanta International Airport,ATL,Atlanta,346836,129782,2557,184420,3802057,52261,20401,613081,51208,18236,597907,51703,18699,589262,51140,21187,664157,50583,19917,519975,40534,13418,338080,49407,17924,479595,29512,10095,269999,27366,11071,305353,32754,13198,323824,31370,11585,289361,32398,11774,374491,32735,14494,514909,33735,13499,425747,33707,12825,401967,31333,8796,216689,0,0,0,30907,10190,242626,31019,12255,437091
Appleton International Airport,ATW,Appleton,2848,708,83,1935,28526,448,123,5269,447,133,5578,447,118,4973,440,91,3660,424,104,3363,261,41,2066,381,98,3617,226,69,3004,209,70,2808,284,59,2513,262,43,1261,299,64,2698,225,55,3236,315,87,3013,302,86,2720,245,56,1579,0,0,0,249,50,2610,232,69,3084
Austin-Bergstrom International Airport,AUS,Austin,42067,16225,578,22563,523101,6382,2616,88642,6248,2273,76672,6273,2315,79030,6268,2502,72206,6215,2446,76019,4799,1628,41999,5882,2445,88533,3376,1153,33901,3061,1096,36071,3745,1736,49318,3744,1430,40298,3957,1707,70581,4058,1769,54782,4301,1690,47590,4167,1389,42137,3806,975,21236,0,0,0,3956,1652,72597,3896,1628,54590
Asheville Regional Airport,AVL,Asheville,2745,775,61,1779,34131,413,124,6079,403,120,5958,387,106,4782,394,124,5415,403,112,5101,359,81,3363,386,108,3433,207,41,1792,182,52,3685,235,61,2807,221,57,3188,214,48,1677,321,117,5775,342,111,3976,317,92,3571,281,62,1708,0,0,0,214,67,2295,211,67,3657
Wilkes-Barre/Scranton International Airport,AVP,Wilkes-Barre/Scranton,1359,357,28,899,16970,212,63,3058,198,60,3919,208,60,2439,212,51,2711,207,54,2321,142,23,947,180,46,1575,117,41,1319,90,27,1637,92,19,696,141,27,1546,155,34,1092,116,33,1927,145,27,1359,122,35,1436,110,45,2136,0,0,0,155,44,1651,116,25,2171
Kalamazoo/Battle Creek International Airport,AZO,Kalamazoo,1845,330,102,1368,16553,279,54,3250,277,60,3021,263,45,2371,283,52,2621,269,47,2079,206,29,1232,268,43,1979,211,63,3891,154,55,2661,193,38,1022,148,15,720,133,17,653,161,33,1741,130,8,391,142,21,1544,161,23,865,0,0,0,192,19,1142,220,38,1923
Bradley International Airport,BDL,Windsor Locks,18799,6102,362,11283,195194,2824,944,30942,2787,931,33575,2759,916,29366,2792,965,31408,2769,797,20885,2282,684,23181,2586,865,25837,1680,606,20890,1465,623,18873,1724,594,14422,1696,466,12667,1814,453,14537,1796,648,24789,1842,654,22339,1757,550,20449,1566,354,12300,0,0,0,1755,510,11805,1704,644,22123
Bethel Airport,BET,Bethel,896,257,16,597,7348,144,39,1089,144,33,851,144,28,1003,137,37,948,137,52,1238,94,42,1759,96,26,460,82,17,467,76,24,871,84,19,541,82,16,291,83,18,495,82,14,797,85,25,754,83,31,877,82,16,216,0,0,0,77,42,1420,80,35,619
Meadows Field,BFL,Bakersfield,2637,581,42,1933,29986,399,89,4501,379,89,3730,395,108,6092,390,77,3423,389,81,4579,305,52,2993,380,85,4668,231,62,4322,206,47,2369,242,39,1720,262,51,3085,267,67,3645,262,87,3620,257,48,2511,245,54,2397,197,25,1091,0,0,0,237,36,1487,231,65,3739
Greater Binghamton Airport,BGM,Binghamton,262,55,3,195,4262,39,12,1544,36,8,515,41,11,823,43,9,607,44,7,490,25,1,8,34,7,275,0,0,0,38,15,741,0,0,0,0,0,0,0,0,0,43,9,622,61,9,443,29,4,291,0,0,0,0,0,0,29,5,1124,62,13,1041
Bangor International Airport,BGR,Bangor,366,81,3,255,3488,50,12,437,55,13,500,53,14,259,54,11,424,50,13,1148,52,4,359,52,14,361,0,0,0,21,4,503,1,0,0,0,0,0,58,13,475,44,9,982,66,15,204,76,21,651,42,7,30,0,0,0,34,3,26,24,9,617
Birmingham-Shuttlesworth International Airport,BHM,Birmingham,12514,3922,181,7723,148933,1932,663,25820,1846,514,20895,1878,542,22033,1887,656,25461,1873,626,22128,1308,362,14733,1790,559,17863,1146,356,13994,1054,326,13148,1206,410,14411,1086,328,11961,1153,366,14737,1216,416,18721,1202,416,15515,1174,335,12499,1108,214,5791,0,0,0,1110,342,10947,1059,413,17209
Billings Logan International Airport,BIL,Billings,2866,467,13,2285,18107,426,69,2765,422,77,3070,435,81,4152,417,70,2708,411,69,2119,350,44,998,405,57,2295,220,43,1211,209,46,2028,250,41,1563,225,31,1188,248,30,900,279,41,1479,337,57,1956,333,47,1917,243,33,1228,0,0,0,253,28,971,269,70,3666
Bismarck Municipal Airport,BIS,Bismarck,3453,839,60,2406,40181,518,133,5679,529,140,5296,507,135,8196,545,139,7464,497,102,4732,348,56,2091,509,134,6723,307,92,6809,280,117,5114,298,58,2451,298,46,1792,319,54,2840,328,91,5271,358,76,2513,354,92,4355,301,64,2768,0,0,0,302,68,3734,308,81,2534
Bemidji Regional Airport,BJI,Bemidji,667,79,3,480,6218,96,12,538,96,13,988,96,10,843,95,10,1410,94,12,608,94,15,1563,96,7,268,62,10,572,56,5,991,62,2,93,60,2,134,62,9,559,60,12,278,62,11,541,62,10,1070,60,4,533,0,0,0,59,8,1032,62,6,415
Bellingham International Airport,BLI,Bellingham,711,135,3,551,4298,82,16,585,103,14,242,119,19,530,85,16,860,119,29,929,83,18,845,120,23,307,94,17,648,84,9,404,107,18,826,93,12,417,93,19,488,19,0,0,0,0,0,31,6,295,0,0,0,0,0,0,88,25,593,102,29,627
Central Illinois Regional Airport at Bloomington-Normal,BMI,Bloomington,2730,597,104,1938,31452,426,83,4655,411,84,4913,388,90,4632,408,98,4640,419,100,5568,296,54,3057,382,88,3987,249,88,4579,238,77,3389,267,71,4112,236,67,5498,231,38,1730,269,60,2423,257,36,1581,257,39,2203,246,27,1264,0,0,0,225,40,1423,255,54,3250
Nashville International Airport,BNA,Nashville,47580,17517,1066,26228,566631,7199,2712,99504,7139,2566,94044,7189,2674,84785,7023,2829,88951,6979,2700,80442,5355,1734,51913,6696,2302,66992,4096,1376,42162,3672,1321,43776,4461,1674,49379,4270,1521,45411,4385,1685,56102,4584,2135,76990,4752,2052,73402,4576,1551,49827,4278,1161,37829,0,0,0,4269,1405,38677,4237,1636,53076
Boise Airport (Boise Air Terminal),BOI,Boise,11655,3409,101,7600,138671,1738,550,25283,1714,507,21963,1731,512,20812,1706,527,21103,1677,509,17872,1434,343,12822,1655,461,18816,945,354,15592,836,225,9501,961,210,7712,917,206,9721,1059,283,9771,1138,366,15638,1198,413,15536,1174,353,12114,1075,271,12304,0,0,0,1152,303,11677,1200,425,19105
Gen. Edward Lawrence Logan International Airport,BOS,Boston,107847,39039,2654,60182,1297705,16590,6071,218381,16332,5986,247225,16358,5753,171958,16344,6160,210436,16131,5845,160842,11467,3828,114572,14625,5396,174291,8837,3010,97359,8380,4061,161542,9971,3727,123070,10000,3325,94759,10241,3224,109387,10544,3939,144550,10837,4290,139633,10727,4275,143069,9726,2903,78059,0,0,0,9464,2725,65575,9120,3560,140702
Jack Brooks Regional Airport (Southeast Texas Regional),BPT,Beaumont/Port Arthur,973,313,63,509,18854,142,45,2760,144,50,3112,144,42,2493,140,44,2722,140,44,2024,129,36,2778,134,52,2965,93,44,2363,81,29,1261,93,33,2579,90,35,2892,89,30,1489,90,29,996,91,25,1175,91,20,835,84,17,817,0,0,0,82,25,1917,89,26,2530
Brunswick Golden Isles Airport,BQK,Brunswick,878,196,9,626,9510,142,32,1277,117,27,1756,117,29,1716,136,32,1597,136,27,967,92,16,1033,138,33,1164,85,12,482,78,15,921,80,22,947,76,20,703,78,14,848,77,20,911,78,17,840,80,19,828,80,19,779,0,0,0,82,16,1052,84,22,1199
Rafael Hernández Airport,BQN,Aguadilla,1343,557,11,716,21524,214,94,3422,192,77,2367,181,74,3996,197,71,2330,189,82,2749,193,89,3486,177,70,3174,116,52,1826,84,30,2440,98,36,1631,101,38,2798,119,37,1345,151,68,2558,172,63,2623,153,84,2404,95,35,814,0,0,0,115,43,990,139,71,2095
Brainerd Lakes Regional Airport,BRD,Brainerd,589,69,7,455,2805,96,10,409,96,15,315,96,9,375,96,11,389,95,13,1169,55,6,77,55,5,71,54,4,291,48,5,140,53,6,128,52,5,290,52,6,516,52,6,137,62,14,184,60,11,123,52,5,674,0,0,0,50,3,293,54,4,29
Brownsville/South Padre Island International Airport,BRO,Brownsville,2362,498,97,1716,23988,356,74,3156,329,79,3900,343,66,4802,355,74,2561,345,65,2400,294,65,2588,340,75,4581,204,45,2042,201,41,1956,243,86,2996,214,52,2541,223,73,4709,236,63,3380,236,31,1758,232,33,1436,188,19,898,0,0,0,187,29,1473,198,26,799
Wiley Post-Will Rogers Memorial Airport,BRW,Barrow,855,247,27,552,7292,144,42,1537,144,27,623,96,35,989,95,29,554,139,54,1267,141,34,1338,96,26,984,80,26,1080,72,26,518,80,32,968,76,24,905,80,19,412,78,21,886,79,23,733,80,24,387,77,16,258,0,0,0,76,10,550,77,26,595
Bert Mooney Airport,BTM,Butte,667,83,19,544,4481,96,5,151,96,15,406,96,11,882,96,12,532,93,12,1134,94,13,762,96,15,614,62,4,41,56,5,33,62,3,140,60,9,287,62,6,129,60,5,71,62,8,228,62,11,825,60,0,0,0,0,0,60,12,662,61,20,2065
Baton Rouge Metropolitan Airport,BTR,Baton Rouge,7166,2346,163,4376,104103,1084,417,22363,1065,326,17520,1076,360,17102,1071,329,12118,1056,336,11110,797,214,9250,1017,364,14640,655,205,9507,620,222,8034,704,251,8594,661,254,13068,669,266,13100,660,245,12392,675,213,7758,668,186,7899,596,127,5484,0,0,0,647,186,7065,611,191,11202
Burlington International Airport,BTV,Burlington,2978,832,89,1963,41143,432,132,7234,448,151,8760,443,121,5814,437,115,5118,429,119,5619,363,80,3677,426,114,4921,241,79,3206,180,58,2997,238,71,3472,259,63,4195,242,63,2932,273,97,5138,304,90,4289,281,65,2822,348,88,3365,0,0,0,237,46,2485,375,112,6242
Buffalo Niagara International Airport,BUF,Buffalo,16824,4840,317,10713,174293,2508,781,30955,2483,742,25544,2499,675,22844,2479,701,28320,2450,686,22695,2127,607,20285,2278,648,23650,1294,449,16317,1230,507,18455,1568,494,17903,1596,410,14826,1675,356,12777,1635,534,19655,1683,511,20592,1604,486,18283,1518,307,9914,0,0,0,1495,369,9829,1526,417,15742
Bob Hope Airport (Hollywood Burbank Airport),BUR,Burbank,18889,5930,315,11512,168285,2893,887,25152,2869,802,22828,2897,827,22617,2842,987,27601,2800,1063,31560,2001,495,12689,2587,869,25838,1703,557,16443,1530,520,15467,1758,495,13156,1704,547,14937,1720,595,17027,1736,580,15243,1821,556,19294,1779,503,14250,1698,369,8665,0,0,0,1700,543,14056,1740,665,19747
Baltimore-Washington International Airport,BWI,Baltimore,86079,41823,1533,37216,1274249,12836,6244,203525,12795,6170,200949,12854,6174,170820,12614,6520,205219,12457,6168,171304,10509,5009,165804,12014,5538,156628,6921,3249,92603,6236,3126,94352,7762,3868,117794,7885,3314,84520,8175,3604,105073,8422,4815,185562,8745,5238,178196,8338,4167,143224,7719,3123,89929,0,0,0,7886,3338,72332,7990,3981,110664
Bozeman Yellowstone International Airport (Gallatin Field Airport),BZN,Bozeman,3604,931,39,2465,36946,513,158,6099,467,94,3017,517,110,5399,484,109,4240,497,112,3004,560,201,10075,566,147,5112,252,88,3427,269,97,4257,301,80,3213,204,38,2022,169,27,514,364,78,2866,512,139,4089,525,142,4329,420,67,2273,0,0,0,252,56,2116,336,119,7840
Columbia Metropolitan Airport,CAE,Columbia,5151,1501,94,3343,68137,819,253,13707,748,207,9921,748,202,8684,804,240,9500,797,237,9607,504,131,5419,731,231,11299,531,156,8931,482,164,7169,516,172,7089,457,121,5019,466,134,6575,460,164,7030,460,114,5903,465,124,4871,445,107,3092,0,0,0,443,133,5168,426,112,7290
Akron-Canton Regional Airport,CAK,Akron,6100,1483,100,4241,57296,912,241,9653,912,209,7868,911,215,8862,892,223,8569,879,231,8825,746,161,5807,848,203,7712,559,149,4745,514,157,5154,667,173,7563,578,124,3417,594,133,4783,559,163,7100,579,165,8410,539,113,3533,464,72,2556,0,0,0,547,110,4383,500,124,5652
Cedar City Regional Airport,CDC,Cedar City,573,141,1,396,4794,96,29,755,96,22,618,96,26,703,95,19,621,93,19,671,47,15,1240,50,11,186,53,12,311,48,8,606,53,11,452,52,8,209,52,16,1020,52,10,266,54,15,148,52,13,279,52,10,255,0,0,0,51,12,293,54,26,955
Merle K. (Mudhole) Smith Airport,CDV,Cordova,662,178,9,458,4885,96,19,706,96,34,782,96,19,608,92,32,615,92,20,573,94,28,645,96,26,956,60,10,367,56,9,234,62,16,648,60,19,306,62,11,211,60,17,287,62,19,426,62,31,763,60,31,1084,0,0,0,58,9,436,60,6,123
Del Norte County Airport (Jack McNamara Field),CEC,Crescent City,190,59,16,114,3863,28,10,770,25,13,697,26,6,236,28,9,403,28,7,1015,27,6,313,28,8,429,60,21,2030,56,20,1190,62,16,609,12,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chattanooga Metropolitan Airport (Lovell Field),CHA,Chattanooga,4202,1235,70,2691,47311,678,196,6632,624,179,7828,613,176,8089,659,209,8294,644,201,7464,414,101,2591,570,173,6413,312,83,2187,332,97,3088,381,134,4390,396,108,3596,416,102,4385,400,145,6008,403,117,4004,407,117,4430,386,68,3112,0,0,0,396,130,5920,373,134,6191
Charlottesville-Albemarle Airport,CHO,Charlottesville,2204,639,100,1369,34616,330,104,6963,331,98,4589,332,93,4730,317,84,5085,316,102,6105,260,71,3354,318,87,3790,201,61,3129,186,58,3634,209,60,3547,178,47,3052,202,49,1771,179,67,3751,205,64,2488,212,64,4062,226,52,2128,0,0,0,217,60,2800,189,57,4254
Charleston International Airport/Charleston AFB,CHS,Charleston,11817,3368,234,7704,136346,1743,527,20267,1698,459,21068,1713,449,17374,1703,520,22531,1691,530,17903,1547,428,18231,1722,455,18972,928,262,9251,781,222,7897,1029,285,9648,1166,363,14697,1148,322,13005,1097,388,19134,1183,363,16234,1136,303,13296,1071,237,9119,0,0,0,1205,297,10888,1073,326,13177
The Eastern Iowa Airport,CID,Cedar Rapids,6832,2004,224,4368,94602,997,338,19092,1048,297,15006,1025,303,14026,1037,271,11757,1001,283,13798,719,179,6991,1005,333,13932,665,269,12552,616,258,13275,648,193,9477,636,144,7463,712,182,8024,664,226,12509,710,205,7770,654,179,6350,485,100,3665,0,0,0,494,105,6547,548,143,6970
Chippewa County International Airport,CIU,Sault Ste. Marie,613,148,16,298,7788,91,23,1129,89,24,1497,89,23,709,91,19,1129,89,22,1819,73,15,1128,91,22,377,57,16,711,52,13,433,58,16,1245,56,13,884,62,12,1271,23,4,152,61,17,697,62,17,975,60,11,199,0,0,0,60,15,845,62,14,376
McClellan-Palomar Airport,CLD,San Diego,641,159,13,426,5584,97,36,1191,91,13,693,91,14,454,96,23,910,98,24,651,70,13,508,98,36,1177,204,36,796,188,45,2391,209,70,2271,40,8,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland Hopkins International Airport,CLE,Cleveland,34589,10625,734,21721,408183,5321,1696,69364,5236,1551,65035,5261,1521,61097,5205,1639,62135,5114,1608,57258,3756,1170,42471,4696,1440,50823,2996,922,32153,2846,1174,46257,3158,1050,39281,3140,789,27718,3404,959,38457,3311,1226,53400,3364,1095,42247,3325,1066,37337,3123,723,24581,0,0,0,3068,780,30514,2854,841,36238
Easterwood Airport,CLL,College Station,2311,447,109,1693,19698,345,61,2524,338,62,1551,343,65,4484,346,79,3571,342,74,4171,271,46,1421,326,60,1976,202,68,3753,186,40,1501,213,50,1658,206,45,1718,228,46,2640,232,44,2313,215,32,1716,219,35,1554,205,30,646,0,0,0,213,31,990,192,26,1209
Charlotte Douglas International Airport,CLT,Charlotte,100324,36982,1081,56949,1066293,14829,5472,168362,14638,5178,152499,15238,5433,168315,14983,5800,169815,14888,5496,137528,11920,4531,130219,13828,5072,139555,9350,3187,79099,8290,3158,88925,9384,3418,91380,8882,3114,85025,9227,2869,74294,9022,3876,137556,9370,4023,122436,9262,3737,132522,9086,2924,81749,0,0,0,9192,2855,62565,9259,3821,110742
Port Columbus International Airport,CMH,Columbus,24187,7763,538,14696,298489,3674,1216,48425,3592,1084,44652,3626,1154,43697,3613,1256,45578,3573,1234,47605,2696,811,28369,3413,1008,40163,2066,779,31592,1920,777,29888,2408,813,31366,2263,588,20434,2259,659,27885,2331,889,34976,2360,900,36178,2251,670,30226,2063,446,16259,0,0,0,2164,550,16081,2102,692,23604
University of Illinois - Willard Airport,CMI,Champaign/Urbana,2116,426,117,1528,25554,314,68,5374,316,59,3649,316,67,3440,312,77,3734,308,70,3124,238,37,2450,312,48,3783,208,66,3687,188,63,3986,186,54,3814,176,21,1833,179,22,1272,176,34,1827,179,28,1535,195,20,933,200,34,1413,0,0,0,220,39,1862,209,45,3392
Houghton County Memorial Airport,CMX,Hancock,668,135,45,466,7566,95,16,627,96,17,607,97,26,1974,97,18,1534,94,18,577,95,19,1144,94,21,1103,60,14,888,56,14,663,61,17,1201,60,13,306,62,5,137,60,9,310,63,10,347,63,16,1241,61,13,326,0,0,0,60,9,699,62,15,1448
Canyonlands Field,CNY,Moab,206,11,1,190,263,34,3,41,17,1,45,17,1,37,36,0,0,34,3,45,34,2,17,34,1,78,54,2,18,48,3,116,53,3,73,51,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellowstone Regional Airport,COD,Cody,665,207,12,426,7508,94,26,750,92,29,1063,92,31,1128,92,27,756,91,35,1481,97,29,1124,107,30,1206,62,13,621,56,17,515,62,11,292,60,10,141,62,20,1252,89,31,1260,98,39,1554,77,32,1002,32,6,60,0,0,0,32,13,299,35,15,512
City of Colorado Springs Municipal Airport,COS,Colorado Springs,6881,1761,116,4693,88725,1046,291,15709,975,236,14742,978,262,13397,1021,263,11211,1012,269,14135,850,206,9598,999,234,9933,608,183,12635,548,138,5150,641,144,6542,654,141,8584,682,152,6929,679,201,12029,643,170,9972,640,158,6114,591,119,3916,0,0,0,573,159,7842,622,196,9012
Columbia Regional Airport,COU,Columbia,1308,382,64,798,23218,189,53,3419,192,53,4543,188,49,2499,191,65,3574,186,53,3102,186,52,2946,176,57,3135,124,46,2033,112,48,2437,124,37,2757,116,28,1011,115,39,2914,119,49,3353,121,34,1233,122,29,1969,114,22,976,0,0,0,117,28,2458,124,22,2077
Natrona County International Airport,CPR,Casper,1774,318,29,1366,11632,282,47,2049,247,46,1839,251,47,1531,279,57,1735,274,40,1908,186,27,687,255,54,1883,166,34,1504,148,33,942,199,26,828,195,33,1193,122,21,633,169,36,1841,212,47,1254,189,30,861,142,13,426,0,0,0,135,23,1221,97,22,929
Corpus Christi International Airport,CRP,Corpus Christi,4888,1422,151,3108,57346,738,228,8917,712,207,7718,738,219,9240,737,210,8988,725,222,8256,557,146,7219,681,190,7008,546,191,5939,514,164,4973,591,219,7589,570,175,7975,574,199,11558,379,119,4295,367,64,2547,339,60,3485,302,39,1501,0,0,0,372,97,3289,334,95,4195
Yeager Airport,CRW,Charleston,2385,883,59,1330,34508,374,150,5990,352,108,4714,376,134,5986,345,139,5524,349,148,4155,245,84,3060,344,120,5079,176,77,3021,171,75,3950,237,109,3647,237,70,2430,242,83,3361,230,103,4346,223,105,2735,227,79,2840,213,64,3006,0,0,0,216,52,2114,213,66,3058
Columbus Metropolitan Airport,CSG,Columbus,1068,293,7,745,9928,167,56,1580,155,33,942,158,42,1673,168,57,2423,164,46,1817,112,19,239,144,40,1254,80,19,1037,91,23,740,111,46,1247,113,29,1292,109,24,824,76,19,362,102,36,897,102,22,659,107,19,656,0,0,0,103,37,743,74,19,1471
Cincinnati/Northern Kentucky International Airport,CVG,Covington,20031,5841,508,12722,248959,3136,997,45222,2942,782,33745,3049,860,40372,3104,942,38721,3040,912,35928,1975,552,23416,2785,796,31555,1713,517,19616,1601,613,26113,1874,562,20288,1829,458,19954,1947,523,21739,1979,695,33702,1919,677,33582,1962,531,19938,1790,390,15363,0,0,0,1763,413,15392,1654,462,23272
Central Wisconsin Airport,CWA,Mosinee,1420,290,56,1025,14919,213,42,3140,216,42,1334,216,48,2491,210,46,2626,209,40,1800,174,31,1391,182,41,2137,120,40,1693,122,40,2174,144,23,1308,120,16,1206,119,17,972,116,27,1387,118,28,2003,131,30,1671,140,18,505,0,0,0,161,25,980,129,26,1020
